IPP-Werkspoor;;Is onderdeel van IPP-Werkspoor;;;IPP-Werksporen;;;Activiteiten;;;Wordt in huidige situatie uitgevoerd met Tools;;Heeft output Product;;Heeft input Product;;Heeft verantwoordelijke Persoon;
;Naam;;Code;Naam;;Code;Naam;;Nummer tbv volgorde;Naam;;Naam;;Naam;;Naam;;Name
;;;;;;;;ACT-104;2;Opstellen BIM Uitvoeringsplan (BUP);TLS-95;MS Word 365;PRD-104;BIM Uitvoeringsplan (BUP);PRD-102;Common data environment ontwerpfase;;
;;;;;;;;;;;TLS-96;MS Excel 365;PRD-131;BIM Uitvoeringsplan Light (BUP);;;;
;;;;;;;;ACT-105;3;Managen ontwerpbestanden;TLS-34;Autodesk applicaties - CAD Basis, Infra en Inventor;;;PRD-103;Mappenstructuur NEN ISO 19650;;
;;;;;;;;ACT-106;4;Managen correspondentie ontwerp;TLS-34;Autodesk applicaties - CAD Basis, Infra en Inventor;;;;;;
;;;;;;;;ACT-107;6;Beoordelen ontwerp;TLS-34;Autodesk applicaties - CAD Basis, Infra en Inventor;;;PRD-75;Ontwerp (SO, VO, DO, UO);;
;;;;;;;;ACT-125;;Opstellen ontwerpmanagementplan;;;;;;;;
IPP-12;Opstellen contractendocs;IPP-2;2;Contract Management;;;;ACT-34;2;Opstellen vraagspecificatie;TLS-95;MS Word 365;PRD-3;Vraagspecificatie;PRD-2;Inkoopplan;PRS-1;Ronald Braam
;;;;;;;;ACT-35;;Opstellen eisen emissievrij werken;;;PRD-7;Emissievrij werken eisen;;;PRS-7;Grietsje van der Heide-wijma
;;;;;;;;ACT-36;;Opstellen overeenkomsten;TLS-95;MS Word 365;PRD-6;Overeenkomst;;;;
;;;;;;;;ACT-37;1;Opstellen basisovereenkomst;TLS-95;MS Word 365;PRD-5;Basisovereenkomst;PRD-2;Inkoopplan;;
;;;;;;;;ACT-38;3;Opstellen annexen;TLS-95;MS Word 365;PRD-4;Annexen;PRD-2;Inkoopplan;;
;;;;;;;;ACT-109;0;Opstellen geïntegreerd contract (UAV-GC);TLS-32;Relatics;;;PRD-2;Inkoopplan;;
;;;;;;;;;;;TLS-95;MS Word 365;;;;;;
;;;;;;;;ACT-110;4;Opstellen RAW Contract;TLS-53;Ibis Cloud;PRD-113;RAW-bestek;PRD-2;Inkoopplan;;
;;;;;;;;ACT-112;5;Opstellen bouwteamovereenkomst bouwteam;TLS-95;MS Word 365;PRD-111;Bouweamovereenkomst;PRD-2;Inkoopplan;;
;;;;;;;;ACT-113;6;Opstellen (model) aannemingsoverenkomst bouwteam;TLS-95;MS Word 365;PRD-112;Aannemingsovereenkomst (bouwteam);PRD-111;Bouweamovereenkomst;;
IPP-27;Opstellen Planproducten;IPP-5;5;Plan Management;;;;ACT-75;;Opstellen MER;;;PRD-84;MER;;;PRS-10;N.t.b.
;;;;;;;;ACT-76;;Opstellen UPN;;;PRD-100;Uitgangspuntennotitie (UPN) @planfase@?;;;;
IPP-10;Organisatiemanagement;IPP-1;1;Besluit spoor Projectmanagement;;;;ACT-29;;Inrichten en aansturen team;TLS-95;MS Word 365;PRD-56;Aansturen team;;;PRS-2;Wim Kloezen
;;;;;;;;;;;TLS-96;MS Excel 365;;;;;;
;;;;;;;;ACT-30;;Managen besluiten;TLS-8;MS PowerBI Professional;PRD-60;Besluiten;;;;
;;;;;;;;;;;TLS-95;MS Word 365;;;;;;
;;;;;;;;;;;TLS-96;MS Excel 365;;;;;;
;;;;;;;;ACT-31;;Managen wijzigingen;TLS-8;MS PowerBI Professional;PRD-59;Wijzigingen;;;;
;;;;;;;;;;;TLS-95;MS Word 365;;;;;;
;;;;;;;;;;;TLS-96;MS Excel 365;;;;;;
;;;;;;;;ACT-32;;Managen voortgang;TLS-8;MS PowerBI Professional;PRD-58;Voortgangsrapportage;PRD-63;VTW-management;;
;;;;;;;;;;;TLS-95;MS Word 365;;;;;;
;;;;;;;;;;;TLS-96;MS Excel 365;;;;;;
;;;;;;;;ACT-33;;Signaleren inzet (capaciteit en expertise) team;TLS-95;MS Word 365;PRD-57;Signaleren inzet (capaciteit en expertise) team;PRD-42;Probabilistische planning;;
;;;;;;;;;;;TLS-96;MS Excel 365;;;PRD-43;Baseline beheer planning;;
;;;;;;;;;;;TLS-98;MS Teams;;;PRD-44;Capaciteitsplanning;;
;;;;;;;;;;;;;;;PRD-116;Planning;;
;;;;;;;;;;;;;;;PRD-119;Planningsnota;;
;;;;;;;;;;;;;;;PRD-130;Deelmanagementplan - Technisch management;;
IPP-25;Participatie- en stakeholdermanagement;IPP-4;4;Klant en Omgevingsmanagement;;;;ACT-70;1;1. Uitvoeren omgevingsanalyse;TLS-32;Relatics;PRD-33;Omgevingsmanagementplan;;;PRS-5;Paul Hoogerwerf
;;;;;;;;;;;TLS-101;Dialog;PRD-125;Stakeholderdossier;;;PRS-6;Lotte Diephuis
;;;;;;;;;;;TLS-123;Clearly;PRD-126;Issuedossier;;;PRS-12;Eline Bremer
;;;;;;;;ACT-71;3;3. Opstellen communicatieplan/strategie;TLS-101;Dialog;PRD-85;Communicatieplan/strategie;PRD-33;Omgevingsmanagementplan;;
;;;;;;;;;;;TLS-123;Clearly;;;PRD-125;Stakeholderdossier;;
;;;;;;;;;;;;;;;PRD-126;Issuedossier;;
;;;;;;;;ACT-72;2;2. Opstellen participatiestrategie;TLS-101;Dialog;PRD-36;Participatieplan;PRD-33;Omgevingsmanagementplan;;
;;;;;;;;;;;TLS-123;Clearly;;;PRD-125;Stakeholderdossier;;
;;;;;;;;;;;;;;;PRD-126;Issuedossier;;
;;;;;;;;ACT-74;4;4. Opstellen KES;TLS-32;Relatics;PRD-34;KES dossier;PRD-125;Stakeholderdossier;;
;;;;;;;;;;;TLS-96;MS Excel 365;;;;;;
